gamma,error_L2,error_Linfty
0.0,0.0006782602064539866,0.0419200437599918
0.03103448275862069,0.0006217349191045264,0.03435093156533798
0.06206896551724138,0.0005676211592392066,0.03710526239786658
0.09310344827586206,0.0005165232237402282,0.03473913050200387
0.12413793103448276,0.0004688404455288979,0.032391101473581506
0.15517241379310345,0.0004247929782783099,0.011685100946887841
0.18620689655172412,0.00038446685893751104,0.027742799889598435
0.21724137931034482,0.0003478337641684649,0.021977670020720128
0.2482758620689655,0.00031476730930525006,0.023176742403093822
0.2793103448275862,0.0002850952934600759,0.018035666635368562
0.3103448275862069,0.00025862489928832886,0.018749511285051826
0.3413793103448276,0.00023513527209452094,0.016614400224239212
0.37241379310344824,0.00021443150492261805,0.014548906851719291
0.40344827586206894,0.00019632190631252208,0.012520486472176915
0.43448275862068964,0.00018074277611755855,0.010686044096249838
0.46551724137931033,0.00016763363727980457,0.008921054698564686
0.496551724137931,0.00015700520941940369,0.006163584208505355
0.5275862068965517,0.00014898540054149632,0.003693117279914457
0.5586206896551724,0.00014378704568268006,0.004493344316577637
0.5896551724137931,0.00014175190962598098,0.0033489087056022718
0.6206896551724138,0.0001434091358643402,0.0009992501973340143
0.6517241379310345,0.00014952309726403465,0.0016263792101682798
0.6827586206896552,0.00016124298942213686,0.0010332031344930037
0.7137931034482758,0.0001803778725504289,0.0005994964113049179
0.7448275862068965,0.00020993876715440373,0.0004426698412268726
0.7758620689655172,0.0002552598664644926,0.0005593072317063852
0.8068965517241379,0.00032710914988039256,0.002316623376784871
0.8379310344827586,0.0004449365450368038,0.0014413923788367117
0.8689655172413793,0.0006924176382978785,0.009152106737373433
0.9,0.0037367040392817454,0.0659749963425375
