gamma,mu,q,Q
0.0,0.20710678072266836,3.658099070590718e-09,1.0
0.04736842105263158,0.2002619923916891,0.04589353339570894,1.0
0.09473684210526316,0.193526198624542,0.09624484952140037,1.0
0.14210526315789473,0.18652857191120437,0.15345143561593402,1.0
0.18947368421052632,0.17895356460700979,0.21631744926589047,1.0
0.2368421052631579,0.17077198466958254,0.2848523462449801,1.0
0.28421052631578947,0.16211225773359642,0.3585067568751683,1.0
0.3315789473684211,0.1530601376176372,0.4371498194289323,1.0
0.37894736842105264,0.1436436164286868,0.5209794983135501,1.0
0.4263157894736842,0.1338610070726768,0.5762182244226361,1.0
0.4736842105263158,0.12379059872973361,0.635651170711791,1.0
0.5210526315789474,0.11331035323489126,0.6936016729951193,1.0
0.5684210526315789,0.1018862814068971,0.7624925766780819,1.0
0.6157894736842106,0.08955760259570336,0.8454745823299818,1.0
0.6631578947368422,0.07538750419023146,0.9468028145366585,1.0
0.7105263157894737,0.05961589983450813,1.0721438581826916,1.0
0.7578947368421053,0.04358951905614832,1.2285394652227704,1.0
0.8052631578947369,0.02795726775961144,1.4226403672197656,1.0
0.8526315789473684,0.013949578363155631,1.6522927016801934,1.0
0.9,0.003828678666787541,1.8787878780642746,1.0
