gamma,mu,q
0.0,0.20710678107585262,9.722858783901634e-10
0.03103448275862069,0.20262219463824183,0.030161089780186008
0.06206896551724138,0.19819424810203054,0.05983578596962432
0.09310344827586206,0.1938320164223543,0.09271012026979157
0.12413793103448276,0.1894711412349991,0.12844061073432375
0.15517241379310345,0.18490127380645108,0.16675609866048927
0.18620689655172412,0.18006256228140727,0.2080630571515082
0.21724137931034482,0.17492930735151777,0.25187242580973795
0.2482758620689655,0.16951929137085578,0.29810854866620373
0.2793103448275862,0.1638790203904916,0.34671168836424004
0.3103448275862069,0.15803435075572986,0.3976442894590456
0.3413793103448276,0.15200392938788737,0.4508959608168393
0.37241379310344824,0.14571484572620666,0.5064874892552252
0.40344827586206894,0.13924643618349913,0.5449954043830426
0.43448275862068964,0.13262767621941338,0.5917528296399904
0.46551724137931033,0.12587712278245938,0.6264876128532408
0.496551724137931,0.11899842864885121,0.6623734028524725
0.5275862068965517,0.11186573651718933,0.7023653618137546
0.5586206896551724,0.10438495846279547,0.7471886858820642
0.5896551724137931,0.09643070078172403,0.7977188171887108
0.6206896551724138,0.0882548032682527,0.8550196685618121
0.6517241379310345,0.07911286211611555,0.9203853930815168
0.6827586206896552,0.06891949474192959,0.9953787183686525
0.7137931034482758,0.05851346484377902,1.0818465855575439
0.7448275862068965,0.04800629148168014,1.1818639425371376
0.7758620689655172,0.03756403610953653,1.2974866336688062
0.8068965517241379,0.027437669887042767,1.4300375930435922
0.8379310344827586,0.018011458648023275,1.5783316287352165
0.8689655172413793,0.009869382089334,1.7347847522716193
0.9,0.0038286786434726474,1.8787878785628518
